THE    DH_IY
GREAT    G_R R_EH EH_IY IY_T
THESE    DH_IY IY_Z
SEE    S_IY
SUCH    S_AH AH_CH
CAN    K_AH AH_N
SHOULD    SH_UH UH_D
OLD    AO_UH UH_L L_D
KNOW    N_AO AO_UH
CAME    K_EH EH_IY IY_M
DAY    D_EH EH_IY
MUST    M_AH AH_S S_T
HOW    HH_AA AA_UH
US    Y_UW UW_EH EH_S
MUCH    M_AH AH_CH
NEVER    N_EH EH_V V_UH UH_R
MISTER    M_IH IH_S S_T T_UH UH_R
COME    K_AH AH_M
WHERE    W_EH EH_R
MAY    M_EH EH_IY
FIRST    F_UH UH_R R_S S_T
GO    G_AO AO_UH
WAY    W_EH EH_IY
MEN    M_EH EH_N
AGAIN    AH_G G_EH EH_IY IY_N
HIMSELF    HH_IH IH_M M_S S_EH EH_L L_F
LONG    L_AO AO_NG
BACK    B_AE AE_K
HERE    HH_IY IY_R
WENT    W_EH EH_N N_T
OWN    AO_UH UH_N
SAY    S_EH EH_IY
EVEN    IY_V V_IH IH_N
MOST    M_AO AO_UH UH_S S_T
MIGHT    M_AA AA_IY IY_T
THOSE    DH_AO AO_UH UH_Z
WITHOUT    W_IH IH_TH TH_AA AA_UH UH_T
JUST    JH_IH IH_S S_T
AWAY    AH_W W_EH EH_IY
TOO    T_UW
THROUGH    TH_R R_UW
THINK    TH_IH IH_NG NG_K
MAKE    M_EH EH_IY IY_K
EVERY    EH_V V_R R_IY
THOUGHT    TH_AO AO_T
LIFE    L_AA AA_IY IY_F
AM    EH_IY IY_EH EH_M
MANY    M_EH EH_N N_IY
EYES    AA_IY IY_Z
STILL    S_T T_IH IH_L
BEING    B_IY IY_IH IH_NG
THREE    TH_R R_IY
TAKE    T_EH EH_IY IY_K
SHALL    SH_AE AE_L
WHILE    W_AA AA_IY IY_L
HOUSE    HH_AA AA_UH UH_S
NOTHING    N_AH AH_TH TH_IH IH_NG
SAME    S_EH EH_IY IY_M
HAND    HH_AE AE_N N_D
FOUND    F_AA AA_UH UH_N N_D
PEOPLE    P_IY IY_P P_AH AH_L
LAST    L_AO AO_S S_T
YET    Y_EH EH_T
DON'T    D_AO AO_UH UH_N N_T
PLACE    P_L L_EH EH_IY IY_S
OFF    AO_F
NIGHT    N_AA AA_IY IY_T
SAW    S_AO
ONCE    W_AH AH_N N_S
THOUGH    DH_AO AO_UH
ANOTHER    AH_N N_AH AH_DH DH_UH UH_R
GET    G_IH IH_T
LET    L_EH EH_T
HEAD    HH_EH EH_D
PUT    P_UH UH_T
TOOK    T_UH UH_K
YOUNG    Y_AH AH_NG
UNDER    AH_N N_D D_UH UH_R
RIGHT    R_AA AA_IY IY_T
THINGS    TH_IH IH_NG NG_Z
FACE    F_EH EH_IY IY_S
EVER    EH_V V_UH UH_R
MISSUS    M_IH IH_S S_IH IH_Z
TELL    T_EH EH_L
NEW    N_Y Y_UW
LEFT    L_EH EH_F F_T
ROOM    R_UW UW_M
ASKED    AE_S S_T
LOOKED    L_UH UH_K K_T
THING    TH_IH IH_NG
ALWAYS    AO_L L_W W_IY IY_Z
WORLD    W_UH UH_R R_L L_D
SEEMED    S_IY IY_M M_D
BECAUSE    B_IH IH_K K_AO AO_Z
WHY    W_AA AA_IY
GIVE    G_IH IH_V
LOOK    L_UH UH_K
HEARD    HH_UH UH_R R_D
SOMETHING    S_AH AH_M M_TH TH_IH IH_NG
MIND    M_AA AA_IY IY_N N_D
SIR    S_UH UH_R
WORK    W_UH UH_R R_K
GOING    G_AO AO_UH UH_IH IH_NG
YEARS    Y_IH IH_R R_Z
FAR    F_AA AA_R
FATHER    F_AA AA_DH DH_UH UH_R
SOON    S_UW UW_N
EACH    IY_CH
AGAINST    AH_G G_EH EH_IY IY_N N_S S_T
TOLD    T_AO AO_UH UH_L L_D
HOME    HH_AO AO_UH UH_M
FEW    F_Y Y_UW
ALSO    AO_L L_S S_AO AO_UH
GOT    G_AA AA_T
YES    Y_EH EH_S
KING    K_IH IH_NG
KNEW    N_Y Y_UW
FIND    F_AA AA_IY IY_N N_D
MOTHER    M_AH AH_DH DH_UH UH_R
WATER    W_AO AO_T T_UH UH_R
BEGAN    B_IY IY_G G_AE AE_N
DOOR    D_AO AO_R
SIDE    S_AA AA_IY IY_D
HAVING    HH_AE AE_V V_IH IH_NG
MOMENT    M_AO AO_UH UH_M M_AH AH_N N_T
LOVE    L_AH AH_V
HALF    HH_AE AE_F
BETTER    B_EH EH_T T_UH UH_R
PART    P_AA AA_R R_T
CALLED    K_AO AO_L L_D
DONE    D_AH AH_N
ENOUGH    IY_N N_AH AH_F
QUITE    K_W W_AA AA_IY IY_T
HEART    HH_AA AA_R R_T
WOMAN    W_UH UH_M M_AH AH_N
WHOLE    HH_AO AO_UH UH_L
SEEN    S_IY IY_N
BETWEEN    B_IY IY_T T_W W_IY IY_N
OH    AO_UH
TURNED    T_UH UH_R R_N N_D
GAVE    G_EH EH_IY IY_V
BOTH    B_AO AO_UH UH_TH
COURSE    K_AO AO_R R_S
AMONG    AH_M M_AH AH_NG
HANDS    HH_AE AE_N N_Z
LIGHT    L_AA AA_IY IY_T
HOWEVER    HH_AA AA_UH UH_EH EH_V V_UH UH_R
ALMOST    AO_L L_M M_AO AO_UH UH_S S_T
IT'S    IH_T T_S
GOD    G_AA AA_D
DAYS    D_EH EH_IY IY_Z
MORNING    M_AO AO_R R_N N_IH IH_NG
SET    S_EH EH_T
FELT    F_EH EH_L L_T
WHOM    HH_UW UW_M
POOR    P_UW UW_R
MISS    M_IH IH_S
UNTIL    AH_N N_T T_IH IH_L
FOUR    F_AO AO_R
NOR    N_AO AO_R
WORDS    W_UH UH_R R_D D_Z
STOOD    S_T T_UH UH_D
HUNDRED    HH_AH AH_N N_UH UH_R R_D
WHITE    W_AA AA_IY IY_T
PERHAPS    P_UH UH_R R_HH HH_AE AE_P P_S
SMALL    S_M M_AO AO_L
MYSELF    M_AA AA_IY IY_S S_EH EH_L L_F
HERSELF    HH_UH UH_R R_S S_EH EH_L L_F
NAME    N_EH EH_IY IY_M
GIRL    G_UH UH_R R_L
VOICE    V_AO AO_IY IY_S
COUNTRY    K_AH AH_N N_T T_R R_IY
DEAR    D_IH IH_R
TOGETHER    T_AH AH_G G_EH EH_DH DH_UH UH_R
END    EH_N N_D
ANYTHING    EH_N N_IY IY_TH TH_IH IH_NG
BROUGHT    B_R R_AO AO_T
BEST    B_EH EH_S S_T
DOES    D_IH IH_Z
NEXT    N_EH EH_K K_S S_T
REPLIED    R_IY IY_P P_L L_AA AA_IY IY_D
INDEED    IH_N N_D D_IY IY_D
OTHERS    AH_DH DH_UH UH_R R_Z
FIVE    F_AA AA_IY IY_V
FEET    F_IY IY_T
LADY    L_EH EH_IY IY_D D_IY
SINCE    S_IH IH_N N_S
TILL    T_IH IH_L
ROUND    R_AA AA_UH UH_N N_D
THEMSELVES    DH_EH EH_M M_S S_EH EH_L L_V V_Z
MATTER    M_AE AE_T T_UH UH_R
I'M    AA_IY IY_M
WANT    W_AO AO_N N_T
LOOKING    L_UH UH_K K_IH IH_NG
THUS    DH_AH AH_S
RATHER    R_AH AH_DH DH_UH UH_R
CRIED    K_R R_AA AA_IY IY_D
TAKEN    T_EH EH_IY IY_K K_AH AH_N
ALONG    AH_L L_AO AO_NG
WORD    W_UH UH_R R_D
TWENTY    T_W W_EH EH_N N_T T_IY
LARGE    L_AA AA_R R_JH
CANNOT    K_AH AH_N N_AA AA_T
KIND    K_AA AA_IY IY_N N_D
FULL    F_UH UH_L
HIGH    HH_AA AA_IY
NATURE    N_EH EH_IY IY_CH CH_UH UH_R
OPEN    AO_UH UH_P P_AH AH_N
WHOSE    HH_UW UW_Z
BOY    B_AO AO_IY
LAY    L_EH EH_IY
CHILDREN    CH_IH IH_L L_D D_R R_AH AH_N
GONE    G_AO AO_N
SURE    SH_UH UH_R
AIR    EH_R
POWER    P_AA AA_UH UH_UH UH_R
TRUE    T_R R_UW
NEAR    N_IH IH_R
SAT    S_AE AE_T
BEHIND    B_IH IH_HH HH_AA AA_IY IY_N N_D
DEATH    D_EH EH_TH
LESS    L_EH EH_S
BELIEVE    B_IH IH_L L_IY IY_V
KEEP    K_IY IY_P
PASSED    P_AE AE_S S_T
WIFE    W_AA AA_IY IY_F
BODY    B_AA AA_D D_IY
THEREFORE    DH_EH EH_R R_F F_AO AO_R
FIRE    F_AA AA_IY IY_R
ALONE    AH_L L_AO AO_UH UH_N
MONEY    M_AH AH_N N_IY
ANSWERED    AE_N N_S S_UH UH_R R_D
REST    R_EH EH_S S_T
OFTEN    AO_F F_T T_AH AH_N
GIVEN    G_IH IH_V V_IH IH_N
BLACK    B_L L_AE AE_K
PRESENT    P_R R_IY IY_Z Z_EH EH_N N_T
CHILD    CH_AA AA_IY IY_L L_D
FRIEND    F_R R_EH EH_N N_D
USE    Y_UW UW_Z
LEAVE    L_IY IY_V
HOPE    HH_AO AO_UH UH_P
CERTAIN    S_UH UH_R R_T T_AH AH_N
THOUSAND    TH_AA AA_UH UH_Z Z_AH AH_N N_D
LORD    L_AO AO_R R_D
SEA    S_IY
SPEAK    S_P P_IY IY_K
STATE    S_T T_EH EH_IY IY_T
HELP    HH_EH EH_L L_P
ITSELF    IH_T T_S S_EH EH_L L_F
FACT    F_AE AE_K K_T
REALLY    R_IY IY_L L_IY
CITY    S_IH IH_T T_IY
WITHIN    W_IH IH_TH TH_IH IH_N
ABOVE    AH_B B_AH AH_V
DOCTOR    D_AO AO_K K_T T_UH UH_R
TIMES    T_AA AA_IY IY_M M_Z
KNOWN    N_AO AO_UH UH_N
GROUND    G_R R_AA AA_UH UH_N N_D
USED    Y_UW UW_Z Z_D
GENERAL    JH_EH EH_N N_R R_AH AH_L
LEAST    L_IY IY_S S_T
SENT    S_EH EH_N N_T
ALREADY    AO_R R_EH EH_D D_IY
HEAR    HH_IY IY_R
I'LL    AA_IY IY_L
WISH    W_IH IH_SH
WHETHER    W_EH EH_DH DH_UH UH_R
DEAD    D_EH EH_D
DURING    D_Y Y_UH UH_R R_IH IH_NG
WOMEN    W_IH IH_M M_AH AH_N
ORDER    AO_R R_D D_UH UH_R
COMING    K_AH AH_M M_IH IH_NG
THOU    DH_AA AA_UH
POINT    P_AO AO_IY IY_N N_T
CASE    K_EH EH_IY IY_S
AROUND    UH_R R_AA AA_UH UH_N N_D
SIX    S_IH IH_K K_S
FELL    F_EH EH_L
RETURNED    R_IY IY_T T_UH UH_R R_N N_D
LAND    L_AE AE_N N_D
EARTH    UH_R R_TH
EITHER    IY_DH DH_UH UH_R
BECAME    B_IY IY_K K_EH EH_IY IY_M
MEANS    M_IY IY_N N_Z
HELD    HH_EH EH_L L_D
SUDDENLY    S_AH AH_D D_AH AH_N N_L L_IY
CARE    K_EH EH_R
EVENING    IY_V V_N N_IH IH_NG
MASTER    M_AE AE_S S_T T_UH UH_R
REASON    R_IY IY_Z Z_AH AH_N
HARD    HH_AA AA_R R_D
MAKING    M_EH EH_IY IY_K K_IH IH_NG
LOST    L_AO AO_S S_T
SON    S_AH AH_N
RED    R_EH EH_D
EVERYTHING    EH_V V_R R_IY IY_TH TH_IH IH_NG
SEVERAL    S_EH EH_V V_R R_AH AH_L
HOUR    AA_UH UH_R
FRIENDS    F_R R_EH EH_N N_Z
KEPT    K_EH EH_P P_T
DARK    D_AA AA_R R_K
HORSE    HH_AO AO_R R_S
SECOND    S_EH EH_K K_AH AH_N N_D
BEAUTIFUL    B_Y Y_UW UW_T T_AH AH_F F_AH AH_L
SHORT    SH_AO AO_R R_T
SIGHT    S_AA AA_IY IY_T
MANNER    M_AE AE_N N_UH UH_R
TOWARDS    T_AO AO_R R_D D_Z
SAYS    S_IH IH_Z
TABLE    T_EH EH_IY IY_B B_AH AH_L
CLOSE    K_L L_AO AO_UH UH_Z
THAT'S    DH_AE AE_T T_S
CAPTAIN    K_AE AE_P P_T T_AH AH_N
SOMETIMES    S_AH AH_M M_T T_AA AA_IY IY_M M_Z
BED    B_EH EH_D
QUESTION    K_W W_EH EH_SH SH_AH AH_N
READ    R_IY IY_D
TOWN    T_AA AA_UH UH_N
BECOME    B_IH IH_K K_AH AH_M
POSSIBLE    P_AA AA_S S_AH AH_B B_AH AH_L
FAMILY    F_AE AE_M M_L L_IY
BIG    B_IH IH_G
CALL    K_AO AO_L
MEAN    M_IY IY_N
FORM    F_AO AO_R R_M
TEN    T_EH EH_N
ARMS    AA_R R_M M_Z
YEAR    Y_IH IH_R
HUMAN    Y_UW UW_M M_AH AH_N
BUSINESS    B_IH IH_Z Z_N N_IH IH_S
FEEL    F_IY IY_L
CAN'T    K_AE AE_N N_T
STORY    S_T T_AO AO_R R_IY
WAR    W_AO AO_R
READY    R_EH EH_D D_IY
JOHN    JH_AA AA_N
DIFFERENT    D_IH IH_F F_R R_AH AH_N N_T
ANSWER    AE_N N_S S_UH UH_R
TURN    T_UH UH_R R_N
O    AO_UH
RIVER    R_IH IH_V V_UH UH_R
LIVE    L_IH IH_V
FOLLOWED    F_AA AA_L L_AO AO_UH UH_D
FINE    F_AA AA_IY IY_N
ABLE    EH_IY IY_B B_AH AH_L
ASK    AE_S S_K
IDEA    AA_IY IY_D D_IY IY_AH
ELSE    EH_L L_S
PERSON    P_UH UH_R R_S S_AH AH_N
SUN    S_AH AH_N
ROSE    R_AO AO_UH UH_Z
STRANGE    S_T T_R R_EH EH_IY IY_N N_JH
ACROSS    AH_K K_R R_AO AO_S
DIDN'T    D_IH IH_N N_T
SORT    S_AO AO_R R_T
CARRIED    K_EH EH_R R_IY IY_D
REACHED    R_IY IY_CH CH_T
TREE    T_R R_IY
FEAR    F_IH IH_R
STRONG    S_T T_R R_AO AO_NG
HAPPY    HH_AE AE_P P_IY
MET    M_EH EH_T
LETTER    L_EH EH_T T_UH UH_R
PRINCE    P_R R_IH IH_N N_S
DOUBT    D_AA AA_UH UH_T
UNDERSTAND    AH_N N_D D_UH UH_R R_S S_T T_AE AE_N N_D
TRUTH    T_R R_UW UW_TH
SOUND    S_AA AA_UH UH_N N_D
RAN    R_AE AE_N
SOUL    S_AO AO_UH UH_L
COLD    K_AO AO_UH UH_L L_D
LONGER    L_AO AO_NG NG_G G_UH UH_R
APPEARED    AH_P P_IH IH_R R_D
CONTINUED    K_AH AH_N N_T T_IH IH_N N_Y Y_UW UW_D
NEED    N_IY IY_D
LAW    L_AO
TOWARD    T_AO AO_R R_D
BRING    B_R R_IH IH_NG
WINDOW    W_IH IH_N N_D D_AO AO_UH
PAST    P_AE AE_S S_T
SUPPOSE    S_AH AH_P P_AO AO_UH UH_Z
SAYING    S_EH EH_IY IY_IH IH_NG
EYE    AA_IY
TAKING    T_EH EH_IY IY_K K_IH IH_NG
RETURN    R_IY IY_T T_UH UH_R R_N
SHOW    SH_AO AO_UH
I'VE    AA_IY IY_V
THEE    DH_IY
LATER    L_EH EH_IY IY_T T_UH UH_R
ROAD    R_AO AO_UH UH_D
OUGHT    AO_T
DEEP    D_IY IY_P
SPOKE    S_P P_AO AO_UH UH_K
NUMBER    N_AH AH_M M_B B_UH UH_R
DAUGHTER    D_AO AO_T T_UH UH_R
CLEAR    K_L L_IH IH_R
HOURS    AA_UH UH_R R_Z
HAIR    HH_EH EH_R
TALK    T_AO AO_K
FREE    F_R R_IY
BROTHER    B_R R_AH AH_DH DH_UH UH_R
WANTED    W_AO AO_N N_T T_IH IH_D
PARTY    P_AA AA_R R_T T_IY
OPENED    AO_UH UH_P P_AH AH_N N_D
HOLD    HH_AO AO_UH UH_L L_D
CERTAINLY    S_UH UH_R R_T T_AH AH_N N_L L_IY
CUT    K_AH AH_T
STREET    S_T T_R R_IY IY_T
THY    DH_AA AA_IY
SENSE    S_EH EH_N N_S
SEVEN    S_EH EH_V V_AH AH_N
RUN    R_AH AH_N
PRETTY    P_R R_IH IH_T T_IY
LIVED    L_IH IH_V V_D
EIGHTEEN    EH_IY IY_T T_IY IY_N
TRIED    T_R R_AA AA_IY IY_D
RECEIVED    R_IY IY_S S_IY IY_V V_D
SEEMS    S_IY IY_M M_Z
ALTHOUGH    AO_L L_DH DH_AO AO_UH
BLUE    B_L L_UW
LOW    L_AO AO_UH
FEELING    F_IY IY_L L_IH IH_NG
ENTERED    EH_N N_T T_UH UH_R R_D
BEYOND    B_IY IY_AO AO_N N_D
GREEN    G_R R_IY IY_N
NONE    N_AH AH_N
CHURCH    CH_UH UH_R R_CH
EARLY    UH_R R_L L_IY
SLEEP    S_L L_IY IY_P
UNCLE    AH_NG NG_K K_AH AH_L
BAD    B_AE AE_D
INTEREST    IH_N N_T T_R R_IH IH_S S_T
SPIRIT    S_P P_IH IH_R R_IH IH_T
HUSBAND    HH_AH AH_Z Z_B B_AH AH_N N_D
NEITHER    N_IY IY_DH DH_UH UH_R
SEEM    S_IY IY_M
AGE    EH_IY IY_JH
MILES    M_AA AA_IY IY_L L_Z
CAUSE    K_AO AO_Z
BLOOD    B_L L_AH AH_D
LIVING    L_IH IH_V V_IH IH_NG
NEARLY    N_IH IH_R R_L L_IY
MEET    M_IY IY_T
WON'T    W_AO AO_UH UH_N N_T
SUBJECT    S_AH AH_B B_JH JH_IH IH_K K_T
FELLOW    F_EH EH_L L_AO AO_UH
REAL    R_IY IY_L
WIND    W_IH IH_N N_D
BOOK    B_UH UH_K
DOING    D_UW UW_IH IH_NG
TREES    T_R R_IY IY_Z
COMMON    K_AA AA_M M_AH AH_N
WILD    W_AA AA_IY IY_L L_D
REMEMBER    R_IY IY_M M_EH EH_M M_B B_UH UH_R
PUBLIC    P_AH AH_B B_L L_IH IH_K
PLEASURE    P_L L_EH EH_ZH ZH_UH UH_R
GOLD    G_AO AO_UH UH_L L_D
ADDED    AE_D D_IH IH_D
GLAD    G_L L_AE AE_D
FALL    F_AO AO_L
MINUTES    M_IH IH_N N_AH AH_T T_S
LED    L_EH EH_D
WALKED    W_AO AO_K K_T
FURTHER    F_UH UH_R R_DH DH_UH UH_R
EIGHT    EH_IY IY_T
FORWARD    F_AO AO_R R_W W_UH UH_R R_D
ACCOUNT    AH_K K_AA AA_UH UH_N N_T
LINE    L_AA AA_IY IY_N
HAPPENED    HH_AE AE_P P_AH AH_N N_D
CHANGE    CH_EH EH_IY IY_N N_JH
EXCEPT    IH_K K_S S_EH EH_P P_T
CHARACTER    K_EH EH_R R_IH IH_K K_T T_UH UH_R
THIRTY    TH_UH UH_R R_T T_IY
FOOT    F_UH UH_T
LAID    L_EH EH_IY IY_D
GOVERNMENT    G_AH AH_V V_UH UH_R R_N N_M M_AH AH_N N_T
LATE    L_EH EH_IY IY_T
ENGLISH    IH_NG NG_L L_IH IH_SH
SCHOOL    S_K K_UW UW_L
FRONT    F_R R_AH AH_N N_T
ATTENTION    AH_T T_EH EH_N N_SH SH_AH AH_N
HEAVY    HH_EH EH_V V_IY
NECESSARY    N_EH EH_S S_AH AH_S S_EH EH_R R_IY
FORCE    F_AO AO_R R_S
CAUGHT    K_AO AO_T
PURPOSE    P_UH UH_R R_P P_AH AH_S
INSTEAD    IH_N N_S S_T T_EH EH_D
PRINCESS    P_R R_IH IH_N N_S S_EH EH_S
FORTH    F_AO AO_R R_TH
TRY    T_R R_AA AA_IY
SILENCE    S_AA AA_IY IY_L L_AH AH_N N_S
BEAUTY    B_Y Y_UW UW_T T_IY
STANDING    S_T T_AE AE_N N_D D_IH IH_NG
TROUBLE    T_R R_AH AH_B B_AH AH_L
STAND    S_T T_AE AE_N N_D
GREW    G_R R_UW
FIFTY    F_IH IH_F F_T T_IY
SEEING    S_IY IY_IH IH_NG
ENGLAND    IH_NG NG_G G_L L_AH AH_N N_D
ILL    IH_L
ARM    AA_R R_M
NATURAL    N_AE AE_CH CH_R R_AH AH_L
FAIR    F_EH EH_R
POSITION    P_AH AH_Z Z_IH IH_SH SH_AH AH_N
THOUGHTS    TH_AO AO_T T_S
BOYS    B_AO AO_IY IY_Z
ARMY    AA_R R_M M_IY
AFRAID    AH_F F_R R_EH EH_IY IY_D
GIRLS    G_UH UH_R R_L L_Z
STOPPED    S_T T_AA AA_P P_T
GARDEN    G_AA AA_R R_D D_AH AH_N
DREW    D_R R_UW
THINKING    TH_IH IH_NG NG_K K_IH IH_NG
VIEW    V_Y Y_UW
SELF    S_EH EH_L L_F
YOURSELF    Y_UH UH_R R_S S_EH EH_L L_F
AGO    AH_G G_AO AO_UH
SHIP    SH_IH IH_P
THERE'S    DH_EH EH_R R_Z
WHATEVER    W_AH AH_T T_EH EH_V V_UH UH_R
KNOWLEDGE    N_AA AA_L L_IH IH_JH
HARDLY    HH_AA AA_R R_D D_L L_IY
COMPANY    K_AH AH_M M_P P_AH AH_N N_IY
SISTER    S_IH IH_S S_T T_UH UH_R
FOLLOWING    F_AA AA_L L_AO AO_UH UH_IH IH_NG
LENGTH    L_EH EH_NG NG_TH
DREAM    D_R R_IY IY_M
WONDER    W_AH AH_N N_D D_UH UH_R
FOOD    F_UW UW_D
EFFECT    IY_F F_EH EH_K K_T
CHANCE    CH_AE AE_N N_S
EXCLAIMED    IH_K K_S S_K K_L L_EH EH_IY IY_M M_D
IMMEDIATELY    IH_M M_IY IY_D D_IY IY_AH AH_T T_L L_IY
ACT    AE_K K_T
SMILE    S_M M_AA AA_IY IY_L
MINE    M_AA AA_IY IY_N
TOM    T_AA AA_M
DISTANCE    D_IH IH_S S_T T_AH AH_N N_S
BESIDES    B_IY IY_S S_AA AA_IY IY_D D_Z
PAPER    P_EH EH_IY IY_P P_UH UH_R
DIED    D_AA AA_IY IY_D
SOCIETY    S_AH AH_S S_AA AA_IY IY_AH AH_T T_IY
FILLED    F_IH IH_L L_D
STRUCK    S_T T_R R_AH AH_K
QUEEN    K_W W_IY IY_N
PLACED    P_L L_EH EH_IY IY_S S_T
THIRD    TH_UH UH_R R_D
GENTLEMAN    JH_EH EH_N N_T T_AH AH_L L_M M_AH AH_N
SLOWLY    S_L L_AO AO_UH UH_L L_IY
ART    AA_R R_T
STONE    S_T T_AO AO_UH UH_N
BEAR    B_EH EH_R
WALL    W_AO AO_L
MAKES    M_EH EH_IY IY_K K_S
DINNER    D_IH IH_N N_UH UH_R
WALK    W_AO AO_K
SAINT    S_EH EH_IY IY_N N_T
LOVED    L_AH AH_V V_D
MOUTH    M_AA AA_UH UH_TH
DESIRE    D_IH IH_Z Z_AA AA_IY IY_UH UH_R
BROKEN    B_R R_AO AO_UH UH_K K_AH AH_N
AH    
EASY    IY_Z Z_IY
HORSES    HH_AO AO_R R_S S_IH IH_Z
GETTING    G_IH IH_T T_IH IH_NG
EAT    IY_T
TOP    T_AO AO_P
COMES    K_AH AH_M M_Z
BRIGHT    B_R R_AA AA_IY IY_T
SAVE    S_EH EH_IY IY_V
IMPOSSIBLE    IH_M M_P P_AA AA_S S_AH AH_B B_AH AH_L
SWEET    S_W W_IY IY_T
STARTED    S_T T_AA AA_R R_T T_IH IH_D
QUICKLY    K_W W_IH IH_K K_L L_IY
PASS    P_AE AE_S
HE'S    HH_IY IY_Z
SITTING    S_IH IH_T T_IH IH_NG
PLAY    P_L L_EH EH_IY
WAIT    W_EH EH_IY IY_T
REMAINED    R_IY IY_M M_EH EH_IY IY_N N_D
PALACE    P_AE AE_L L_AH AH_S
YE    Y_IY
OBJECT    AH_B B_JH JH_EH EH_K K_T
RICH    R_IH IH_CH
HALL    HH_AO AO_L
COURT    K_AO AO_R R_T
STRENGTH    S_T T_R R_EH EH_NG NG_TH
TEARS    T_IH IH_R R_Z
DEAL    D_IY IY_L
AUNT    AO_N N_T
WOOD    W_UH UH_D
NINE    N_AA AA_IY IY_N
MAN'S    M_AE AE_N N_Z
PAY    P_EH EH_IY
OPINION    AH_P P_IH IH_N N_Y Y_AH AH_N
BESIDE    B_IY IY_S S_AA AA_IY IY_D
STAY    S_T T_EH EH_IY
FIGHT    F_AA AA_IY IY_T
FRENCH    F_R R_EH EH_N N_CH
WAITING    W_EH EH_IY IY_T T_IH IH_NG
LAUGHED    L_AE AE_F F_T
CHAIR    CH_EH EH_R
PROBABLY    P_R R_AA AA_B B_L L_IY
FLOOR    F_L L_AO AO_R
ACTION    AE_K K_SH SH_AH AH_N
SINGLE    S_IH IH_NG NG_G G_AH AH_L
TONE    T_AO AO_UH UH_N
PLEASE    P_L L_IY IY_Z
LIPS    L_IH IH_P P_S
OUTSIDE    AA_UH UH_T T_S S_AA AA_IY IY_D
GREATER    G_R R_EH EH_IY IY_T T_UH UH_R
WIDE    W_AA AA_IY IY_D
STATES    S_T T_EH EH_IY IY_T T_S
DANGER    D_EH EH_IY IY_N N_JH JH_UH UH_R
FOLLOW    F_AA AA_L L_AO AO_UH
HEAVEN    HH_EH EH_V V_AH AH_N
DE    D_IY
FOREST    F_AO AO_R R_IH IH_S S_T
ARRIVED    UH_R R_AA AA_IY IY_V V_D
DUTY    D_Y Y_UW UW_T T_IY
SPEAKING    S_P P_IY IY_K K_IH IH_NG
AFTERNOON    AE_F F_T T_UH UH_R R_N N_UW UW_N
BELOW    B_IY IY_L L_AO AO_UH
BOAT    B_AO AO_UH UH_T
SUDDEN    S_AH AH_D D_AH AH_N
PIECE    P_IY IY_S
SOFT    S_AO AO_F F_T
ACCORDING    AH_K K_AO AO_R R_D D_IH IH_NG
TALKING    T_AO AO_K K_IH IH_NG
SPRING    S_P P_R R_IH IH_NG
SOUTH    S_AA AA_UH UH_TH
PEACE    P_IY IY_S
APPEARANCE    AH_P P_IH IH_R R_AH AH_N N_S
GIVING    G_IH IH_V V_IH IH_NG
DIE    D_AA AA_IY
